id,name,ty,age
1,High Clouds,1,22
2,High Clouds,1,38
3,High Clouds,1,29
4,High Clouds,1,29
5,High Clouds,1,22
6,High Clouds,1,38
7,High Clouds,1,29
8,High Clouds,1,29
9,High Clouds,1,22
10,High Clouds,1,38
11,High Clouds,1,29
12,High Clouds,1,29
13,High Clouds,1,22
14,High Clouds,1,38
15,High Clouds,1,29
16,High Clouds,1,29
17,High Clouds,1,22
18,High Clouds,1,38
19,High Clouds,1,29
20,High Clouds,1,29
21,Mid Clouds,2,29
22,Mid Clouds,2,29
23,Low Clouds,3,29
24,Low Clouds,3,29
25,Low Clouds,3,29
26,Low Clouds,3,29
27,Low Clouds,3,29
28,Low Clouds,3,29
29,Low Clouds,3,29
30,Low Clouds,3,29
31,Low Clouds,3,29
32,Low Clouds,3,29
33,Low Clouds,3,29
34,Low Clouds,3,29
35,Low Clouds,3,29
36,Low Clouds,3,29
37,Low Clouds,3,29
38,Low Clouds,3,29
39,Low Clouds,3,29
40,Low Clouds,3,29
41,Low Clouds,3,29
42,Low Clouds,3,29
43,Low Clouds,3,29
44,Low Clouds,3,29
45,Low Clouds,3,29
46,Low Clouds,3,29
47,Low Clouds,3,29
48,Low Clouds,3,29
49,Low Clouds,3,29
50,Low Clouds,3,29
51,Low Clouds,3,29
52,Low Clouds,3,29
53,Low Clouds,3,29
54,Low Clouds,3,29
55,Low Clouds,3,29
56,Low Clouds,3,29
57,Low Clouds,3,29
58,Low Clouds,3,29
59,Low Clouds,3,29
60,Low Clouds,3,29
